# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
naca0024

Re and corresponding polar
# Reynolds number (-)
50000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-11.25      -0.2505      0.13906      -0.0167
-11       -0.216      0.13441      -0.0177
-10.75      -0.2322       0.1349      -0.0161
-10.5      -0.2166      0.13089      -0.0165
-10.25      -0.1937      0.12793      -0.0167
-10      -0.2351      0.12995      -0.0134
-9.75     -0.1878     0.12389     -0.0153
-9.5     -0.1857     0.12279      -0.014
-9.25     -0.1956     0.12122     -0.0124
-9     -0.1678     0.11806     -0.0127
-8.75      -0.204     0.11946     -0.0086
-8.5     -0.1697     0.11489     -0.0096
-8.25     -0.1634     0.11359     -0.0081
-8     -0.2956     0.10516      -0.006
-7.75     -0.2928     0.10256     -0.0047
-7.5     -0.3012     0.10003     -0.0028
-7.25     -0.3221     0.09742     -0.0001
-7     -0.3523     0.09457       0.003
-6.75     -0.3942     0.09108      0.0068
-6.5     -0.2299     0.10382      0.0092
-6.25     -0.3988     0.08932      0.0121
-6     -0.4295     0.08673      0.0157
-5.75     -0.5015     0.08115      0.0211
-5.5     -0.6044     0.07298      0.0289
-5.25     -0.5297     0.07795      0.0276
-5      -0.844      0.0549      0.0535
-4.75     -0.7819     0.05871      0.0512
-4.5     -0.7983     0.05446      0.0524
-4.25     -0.6546     0.06099      0.0387
-4      -0.702     0.05539      0.0439
-3.75      -0.576     0.06087      0.0326
-3.5     -0.6044     0.05682      0.0363
