  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.750  -1.0036   0.08831   0.08323  -0.0738   1.0000   0.0725
 -19.500  -1.0077   0.08518   0.08002  -0.0745   1.0000   0.0734
 -19.250  -1.0158   0.08161   0.07641  -0.0753   1.0000   0.0744
 -19.000  -1.0261   0.07781   0.07256  -0.0761   1.0000   0.0755
 -18.750  -1.0331   0.07450   0.06920  -0.0766   1.0000   0.0765
 -18.500  -1.0398   0.07128   0.06593  -0.0770   1.0000   0.0776
 -18.250  -1.0465   0.06813   0.06272  -0.0773   1.0000   0.0787
 -18.000  -1.0496   0.06548   0.06001  -0.0773   1.0000   0.0797
 -17.750  -1.0566   0.06245   0.05692  -0.0774   1.0000   0.0806
 -17.500  -1.0659   0.05928   0.05370  -0.0773   1.0000   0.0817
 -17.250  -1.0629   0.05614   0.05052  -0.0792   0.9992   0.0831
 -17.000  -1.0563   0.05329   0.04761  -0.0812   0.9981   0.0848
 -16.750  -1.0472   0.05077   0.04502  -0.0830   0.9968   0.0864
 -16.500  -1.0382   0.04823   0.04242  -0.0848   0.9952   0.0877
 -16.250  -1.0303   0.04560   0.03976  -0.0867   0.9935   0.0893
 -16.000  -1.0192   0.04328   0.03739  -0.0886   0.9919   0.0910
 -15.750  -1.0086   0.04116   0.03522  -0.0898   0.9900   0.0927
 -15.500  -0.9963   0.03930   0.03330  -0.0907   0.9877   0.0942
 -15.250  -0.9850   0.03730   0.03128  -0.0919   0.9853   0.0959
 -15.000  -0.9724   0.03538   0.02932  -0.0932   0.9830   0.0978
 -14.750  -0.9562   0.03375   0.02766  -0.0945   0.9810   0.1001
 -14.500  -0.9367   0.03239   0.02625  -0.0959   0.9794   0.1024
 -14.250  -0.9217   0.03080   0.02464  -0.0970   0.9773   0.1043
 -14.000  -0.9146   0.02932   0.02314  -0.0961   0.9716   0.1065
 -13.750  -0.8973   0.02809   0.02189  -0.0967   0.9681   0.1091
 -13.500  -0.8769   0.02696   0.02071  -0.0976   0.9656   0.1117
 -13.250  -0.8658   0.02577   0.01951  -0.0970   0.9601   0.1137
 -13.000  -0.8519   0.02468   0.01841  -0.0965   0.9544   0.1166
 -12.750  -0.8306   0.02374   0.01744  -0.0971   0.9507   0.1196
 -12.500  -0.8170   0.02281   0.01650  -0.0963   0.9442   0.1221
 -12.250  -0.8010   0.02188   0.01556  -0.0958   0.9378   0.1250
