# This text file represents a blade structure that can be imported into Ashes.

# Name of the exported blade:
# NewBlade
# The blade had no description in the database.

# About Structural stations.
# For each structural station along the blade, its structural properties are listed.

Structural stations
# BladeFraction	StrcTwst	BMassDen	FlpStff	EdgStff	GJStff	EAStff	FlpInerDistr	EdgInerDistr	ElasticCenterOffsetX	ElasticCenterOffsetY	MassCenterOffsetX	MassCenterOffsetY	ShearCenterOffsetX	ShearCenterOffsetY	ShearAreaFlapwise	ShearAreaEdgewise
# (-)	(deg)	(kg/m)	(Nm^2)	(Nm^2)	(Nm^2)	(N)	(kg m)	(kg m)	(m)	(m)	(m)	(m)	(m)	(m)	(m^2)	(m^2)
0	13.308	0.129484	1.811e+10	1.81136e+10	5.5644e+09	9.72948e+09	0	0	0	0	0	0	0	0	0	0
0.00325	13.308	0.129484	1.811e+10	1.81136e+10	5.5644e+09	9.72948e+09	0	0	0	0	0	0	0	0	0	0
0.01951	13.308	0.147493	1.94249e+10	1.95586e+10	5.43159e+09	1.07895e+10	0	0	0	0	0	0	0	0	0	0
0.03577	13.308	0.141235	1.74559e+10	1.94978e+10	4.99398e+09	1.00672e+10	0	0	0	0	0	0	0	0	0	0
0.05203	13.308	0.141138	1.52874e+10	1.97888e+10	4.66659e+09	9.86778e+09	0	0	0	0	0	0	0	0	0	0
0.06829	13.308	0.112998	1.07824e+10	1.48585e+10	3.47471e+09	7.60786e+09	0	0	0	0	0	0	0	0	0	0
0.08455	13.308	0.0858747	7.22972e+09	1.02206e+10	2.32354e+09	5.49126e+09	0	0	0	0	0	0	0	0	0	0
0.10081	13.308	0.0808739	6.30954e+09	9.1447e+09	1.90787e+09	4.9713e+09	0	0	0	0	0	0	0	0	0	0
0.11707	13.308	0.0764081	5.52836e+09	8.06316e+09	1.57036e+09	4.49395e+09	0	0	0	0	0	0	0	0	0	0
0.13335	13.308	0.0728653	4.98006e+09	6.88444e+09	1.15826e+09	4.0348e+09	0	0	0	0	0	0	0	0	0	0
0.14959	13.308	0.0762206	4.93684e+09	7.00918e+09	1.00212e+09	4.03729e+09	0	0	0	0	0	0	0	0	0	0
0.16585	13.308	0.0813062	4.69166e+09	7.16768e+09	8.559e+08	4.16972e+09	0	0	0	0	0	0	0	0	0	0
0.18211	12.8845	0.0794943	3.94946e+09	7.27166e+09	6.7227e+08	4.08235e+09	0	0	0	0	0	0	0	0	0	0
0.19837	12.4387	0.0774662	3.38652e+09	7.0817e+09	5.4749e+08	4.08597e+09	0	0	0	0	0	0	0	0	0	0
0.21465	11.9923	0.0727429	2.93374e+09	6.24453e+09	4.4884e+08	3.66834e+09	0	0	0	0	0	0	0	0	0	0
0.23089	11.547	0.0672888	2.56896e+09	5.04896e+09	3.3592e+08	3.14776e+09	0	0	0	0	0	0	0	0	0	0
0.24715	11.2068	0.0666509	2.38865e+09	4.94849e+09	3.1135e+08	3.01158e+09	0	0	0	0	0	0	0	0	0	0
0.26341	10.8854	0.0660904	2.27199e+09	4.80802e+09	2.9194e+08	2.88262e+09	0	0	0	0	0	0	0	0	0	0
0.29595	10.2421	0.0647162	2.05005e+09	4.5014e+09	2.61e+08	2.61397e+09	0	0	0	0	0	0	0	0	0	0
0.32846	9.67064	0.0629371	1.82825e+09	4.24407e+09	2.2882e+08	2.35748e+09	0	0	0	0	0	0	0	0	0	0
0.36098	9.10918	0.0614087	1.58871e+09	3.99528e+09	2.0075e+08	2.14686e+09	0	0	0	0	0	0	0	0	0	0
0.3935	8.52156	0.0598505	1.36193e+09	3.75076e+09	1.7438e+08	1.94409e+09	0	0	0	0	0	0	0	0	0	0
0.42602	7.9284	0.0562105	1.10238e+09	3.44714e+09	1.4447e+08	1.6327e+09	0	0	0	0	0	0	0	0	0	0
0.45855	7.32181	0.0547584	8.758e+08	3.13907e+09	1.1998e+08	1.4324e+09	0	0	0	0	0	0	0	0	0	0
0.49106	6.71176	0.0502237	6.813e+08	2.73424e+09	8.119e+07	1.16876e+09	0	0	0	0	0	0	0	0	0	0
0.52358	6.12557	0.0482906	5.3472e+08	2.55487e+09	6.909e+07	1.04743e+09	0	0	0	0	0	0	0	0	0	0
0.5561	5.54851	0.0460896	4.089e+08	2.33403e+09	5.745e+07	9.2295e+08	0	0	0	0	0	0	0	0	0	0
0.58862	4.97473	0.0420792	3.1454e+08	1.82873e+09	4.592e+07	7.6082e+08	0	0	0	0	0	0	0	0	0	0
0.62115	4.40237	0.0381991	2.3863e+08	1.5841e+09	3.598e+07	6.4803e+08	0	0	0	0	0	0	0	0	0	0
0.65366	3.86389	0.0342152	1.7588e+08	1.32336e+09	2.744e+07	5.397e+08	0	0	0	0	0	0	0	0	0	0
0.68618	3.34536	0.0314861	1.2601e+08	1.18368e+09	2.09e+07	5.3115e+08	0	0	0	0	0	0	0	0	0	0
0.7187	2.89892	0.0294487	1.0726e+08	1.02016e+09	1.854e+07	4.6001e+08	0	0	0	0	0	0	0	0	0	0
0.75122	2.50575	0.0264971	9.088e+07	7.9781e+08	1.628e+07	3.7575e+08	0	0	0	0	0	0	0	0	0	0
0.78376	2.11567	0.0247082	7.631e+07	7.0961e+08	1.453e+07	3.2889e+08	0	0	0	0	0	0	0	0	0	0
0.81626	1.72909	0.020457	6.105e+07	5.1819e+08	9.07e+06	2.4404e+08	0	0	0	0	0	0	0	0	0	0
0.84878	1.34166	0.0188382	4.948e+07	4.5487e+08	8.06e+06	2.116e+08	0	0	0	0	0	0	0	0	0	0
0.8813	0.953571	0.0172117	3.936e+07	3.9512e+08	7.08e+06	1.8152e+08	0	0	0	0	0	0	0	0	0	0
0.89756	0.766821	0.0158296	3.467e+07	3.5372e+08	6.09e+06	1.6025e+08	0	0	0	0	0	0	0	0	0	0
0.91382	0.586454	0.0139043	3.041e+07	3.0473e+08	5.75e+06	1.0923e+08	0	0	0	0	0	0	0	0	0	0
0.93008	0.406088	0.0131159	2.652e+07	2.8142e+08	5.33e+06	1.0008e+08	0	0	0	0	0	0	0	0	0	0
0.93821	0.341032	0.0126376	2.384e+07	2.6171e+08	4.94e+06	9.224e+07	0	0	0	0	0	0	0	0	0	0
0.94636	0.292621	0.0113171	1.963e+07	1.5881e+08	4.24e+06	6.323e+07	0	0	0	0	0	0	0	0	0	0
0.95447	0.244447	0.0106637	1.6e+07	1.3788e+08	3.66e+06	5.332e+07	0	0	0	0	0	0	0	0	0	0
0.9626	0.196154	0.0100095	1.283e+07	1.1879e+08	3.13e+06	4.453e+07	0	0	0	0	0	0	0	0	0	0
0.97073	0.147861	0.00936683	1.008e+07	1.0163e+08	2.64e+06	3.69e+07	0	0	0	0	0	0	0	0	0	0
0.97886	0.106	0.00873823	7.55e+06	8.507e+07	2.17e+06	2.992e+07	0	0	0	0	0	0	0	0	0	0
0.98699	0.106	0.00794695	4.6e+06	6.426e+07	1.58e+06	2.131e+07	0	0	0	0	0	0	0	0	0	0
0.99512	0.106	0.00218427	250000	6.61e+06	250000	4.85e+06	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
